,QC Method,Type,Folder,Name,Date,Time,Status,Vial,AS Method,Chromatographic Method,MS Method,DP Method,Update Calibration,Cal. Std. to Replace
78,Do Nothing,Sample,1D,OPP L4-0.15 pg/uL Split 20-1 (7.5 fg on Col) BT-PV2 1D,4/5/2018,12:16:09 AM,Done,124,Agilent 5uL syringe 1uL injection,Pest 1D,Pest 1D,PF Lib-RI-Filt TAF Pest1,,
79,Do Nothing,Sample,1D,OPP L4-0.15 pg/uL Split 20-1 (7.5 fg on Col) BT-PV2 1D:2,4/5/2018,12:58:04 AM,Done,124,Agilent 5uL syringe 1uL injection,Pest 1D,Pest 1D,PF Lib-RI-Filt TAF Pest1,,
80,Do Nothing,Sample,1D,OPP L4-0.15 pg/uL Split 20-1 (7.5 fg on Col) BT-PV2 1D:3,4/5/2018,1:40:01 AM,Done,124,Agilent 5uL syringe 1uL injection,Pest 1D,Pest 1D,PF Lib-RI-Filt TAF Pest1,,
81,Do Nothing,Sample,1D,OPP L4-0.15 pg/uL Split 20-1 (7.5 fg on Col) BT-PV2 1D:4,4/5/2018,2:22:05 AM,Done,124,Agilent 5uL syringe 1uL injection,Pest 1D,Pest 1D,PF Lib-RI-Filt TAF Pest1,,
82,Do Nothing,Sample,1D,OPP L4-0.15 pg/uL Split 20-1 (7.5 fg on Col) BT-PV2 1D:5,4/5/2018,3:04:05 AM,Done,124,Agilent 5uL syringe 1uL injection,Pest 1D,Pest 1D,PF Lib-RI-Filt TAF Pest1,,
83,Do Nothing,Sample,1D,OPP L5-0.2 pg/uL Split 20-1 (10 fg on Col) BT-PV2 1D,4/5/2018,3:46:09 AM,Done,125,Agilent 5uL syringe 1uL injection,Pest 1D,Pest 1D,PF Lib-RI-Filt TAF Pest1,,
84,Do Nothing,Sample,1D,OPP L5-0.2 pg/uL Split 20-1 (10 fg on Col) BT-PV2 1D:2,4/5/2018,4:28:10 AM,Done,125,Agilent 5uL syringe 1uL injection,Pest 1D,Pest 1D,PF Lib-RI-Filt TAF Pest1,,
85,Do Nothing,Sample,1D,OPP L5-0.2 pg/uL Split 20-1 (10 fg on Col) BT-PV2 1D:3,4/5/2018,5:10:08 AM,Done,125,Agilent 5uL syringe 1uL injection,Pest 1D,Pest 1D,PF Lib-RI-Filt TAF Pest1,,
86,Do Nothing,Sample,1D,OPP L5-0.2 pg/uL Split 20-1 (10 fg on Col) BT-PV2 1D:4,4/5/2018,5:52:07 AM,Done,125,Agilent 5uL syringe 1uL injection,Pest 1D,Pest 1D,PF Lib-RI-Filt TAF Pest1,,
87,Do Nothing,Sample,1D,OPP L5-0.2 pg/uL Split 20-1 (10 fg on Col) BT-PV2 1D:5,4/5/2018,6:34:11 AM,Done,125,Agilent 5uL syringe 1uL injection,Pest 1D,Pest 1D,PF Lib-RI-Filt TAF Pest1,,
88,Do Nothing,Sample,1D,OPP L5-0.2 pg/uL Split 20-1 (10 fg on Col) BT-PV2 1D:6,4/5/2018,7:16:18 AM,Done,125,Agilent 5uL syringe 1uL injection,Pest 1D,Pest 1D,PF Lib-RI-Filt TAF Pest1,,
89,Do Nothing,Sample,1D,OPP L5-0.2 pg/uL Split 20-1 (10 fg on Col) BT-PV2 1D:7,4/5/2018,7:58:01 AM,Done,125,Agilent 5uL syringe 1uL injection,Pest 1D,Pest 1D,PF Lib-RI-Filt TAF Pest1,,
90,Do Nothing,Sample,1D,OPP L5-0.2 pg/uL Split 20-1 (10 fg on Col) BT-PV2 1D:8,4/5/2018,8:40:09 AM,Done,125,Agilent 5uL syringe 1uL injection,Pest 1D,Pest 1D,PF Lib-RI-Filt TAF Pest1,,
91,Do Nothing,Sample,1D,OPP L5-0.2 pg/uL Split 20-1 (10 fg on Col) BT-PV2 1D:9,4/5/2018,9:22:02 AM,Done,125,Agilent 5uL syringe 1uL injection,Pest 1D,Pest 1D,PF Lib-RI-Filt TAF Pest1,,
92,Do Nothing,Sample,1D,OPP L5-0.2 pg/uL Split 20-1 (10 fg on Col) BT-PV2 1D:10,4/5/2018,10:04:00 AM,Done,125,Agilent 5uL syringe 1uL injection,Pest 1D,Pest 1D,PF Lib-RI-Filt TAF Pest1,,
93,Do Nothing,Sample,1D,OPP L5-0.2 pg/uL Split 20-1 (10 fg on Col) BT-PV2 1D:11,4/5/2018,10:46:06 AM,Done,125,Agilent 5uL syringe 1uL injection,Pest 1D,Pest 1D,PF Lib-RI-Filt TAF Pest1,,
94,Do Nothing,Sample,1D,OPP L5-0.2 pg/uL Split 20-1 (10 fg on Col) BT-PV2 1D:12,4/5/2018,11:28:05 AM,Done,125,Agilent 5uL syringe 1uL injection,Pest 1D,Pest 1D,PF Lib-RI-Filt TAF Pest1,,
95,Do Nothing,Sample,1D,OPP L5-0.2 pg/uL Split 20-1 (10 fg on Col) BT-PV2 1D:13,4/5/2018,12:10:10 PM,Done,125,Agilent 5uL syringe 1uL injection,Pest 1D,Pest 1D,PF Lib-RI-Filt TAF Pest1,,
96,Do Nothing,Sample,1D,OPP L5-0.2 pg/uL Split 20-1 (10 fg on Col) BT-PV2 1D:14,4/5/2018,12:52:21 PM,Done,125,Agilent 5uL syringe 1uL injection,Pest 1D,Pest 1D,PF Lib-RI-Filt TAF Pest1,,
97,Do Nothing,Sample,1D,OPP L5-0.2 pg/uL Split 20-1 (10 fg on Col) BT-PV2 1D:15,4/5/2018,1:34:25 PM,Done,125,Agilent 5uL syringe 1uL injection,Pest 1D,Pest 1D,PF Lib-RI-Filt TAF Pest1,,
98,Do Nothing,Sample,1D,OPP L6-0.5 pg/uL Split 20-1 (25 fg on Col) BT-PV2 1D,4/5/2018,2:16:28 PM,Done,126,Agilent 5uL syringe 1uL injection,Pest 1D,Pest 1D,PF Lib-RI-Filt TAF Pest1,,
99,Do Nothing,Sample,1D,OPP L6-0.5 pg/uL Split 20-1 (25 fg on Col) BT-PV2 1D:2,4/5/2018,2:58:34 PM,Done,126,Agilent 5uL syringe 1uL injection,Pest 1D,Pest 1D,PF Lib-RI-Filt TAF Pest1,,
100,Do Nothing,Sample,1D,OPP L6-0.5 pg/uL Split 20-1 (25 fg on Col) BT-PV2 1D:3,4/5/2018,3:40:31 PM,Done,126,Agilent 5uL syringe 1uL injection,Pest 1D,Pest 1D,PF Lib-RI-Filt TAF Pest1,,
101,Do Nothing,Sample,1D,OPP L6-0.5 pg/uL Split 20-1 (25 fg on Col) BT-PV2 1D:4,4/5/2018,4:22:45 PM,Done,126,Agilent 5uL syringe 1uL injection,Pest 1D,Pest 1D,PF Lib-RI-Filt TAF Pest1,,
102,Do Nothing,Sample,1D,OPP L6-0.5 pg/uL Split 20-1 (25 fg on Col) BT-PV2 1D:5,4/5/2018,5:04:33 PM,Done,126,Agilent 5uL syringe 1uL injection,Pest 1D,Pest 1D,PF Lib-RI-Filt TAF Pest1,,
103,Do Nothing,Sample,1D,OPP L6-0.5 pg/uL Split 20-1 (25 fg on Col) BT-PV2 1D:6,4/5/2018,5:46:37 PM,Done,126,Agilent 5uL syringe 1uL injection,Pest 1D,Pest 1D,PF Lib-RI-Filt TAF Pest1,,
104,Do Nothing,Sample,1D,OPP L6-0.5 pg/uL Split 20-1 (25 fg on Col) BT-PV2 1D:7,4/5/2018,6:28:36 PM,Done,126,Agilent 5uL syringe 1uL injection,Pest 1D,Pest 1D,PF Lib-RI-Filt TAF Pest1,,
105,Do Nothing,Sample,1D,OPP L6-0.5 pg/uL Split 20-1 (25 fg on Col) BT-PV2 1D:8,4/5/2018,7:10:41 PM,Done,126,Agilent 5uL syringe 1uL injection,Pest 1D,Pest 1D,PF Lib-RI-Filt TAF Pest1,,
106,Do Nothing,Sample,1D,OPP L6-0.5 pg/uL Split 20-1 (25 fg on Col) BT-PV2 1D:9,4/5/2018,7:52:36 PM,Done,126,Agilent 5uL syringe 1uL injection,Pest 1D,Pest 1D,PF Lib-RI-Filt TAF Pest1,,
107,Do Nothing,Sample,1D,OPP L6-0.5 pg/uL Split 20-1 (25 fg on Col) BT-PV2 1D:10,4/5/2018,8:34:45 PM,Done,126,Agilent 5uL syringe 1uL injection,Pest 1D,Pest 1D,PF Lib-RI-Filt TAF Pest1,,
108,Do Nothing,Sample,1D,OPP L6-0.5 pg/uL Split 20-1 (25 fg on Col) BT-PV2 1D:11,4/5/2018,9:16:28 PM,Done,126,Agilent 5uL syringe 1uL injection,Pest 1D,Pest 1D,PF Lib-RI-Filt TAF Pest1,,
109,Do Nothing,Sample,1D,OPP L6-0.5 pg/uL Split 20-1 (25 fg on Col) BT-PV2 1D:12,4/5/2018,9:58:39 PM,Done,126,Agilent 5uL syringe 1uL injection,Pest 1D,Pest 1D,PF Lib-RI-Filt TAF Pest1,,
110,Do Nothing,Sample,1D,OPP L6-0.5 pg/uL Split 20-1 (25 fg on Col) BT-PV2 1D:13,4/5/2018,10:40:29 PM,Done,126,Agilent 5uL syringe 1uL injection,Pest 1D,Pest 1D,PF Lib-RI-Filt TAF Pest1,,
111,Do Nothing,Sample,1D,OPP L6-0.5 pg/uL Split 20-1 (25 fg on Col) BT-PV2 1D:14,4/5/2018,11:22:29 PM,Done,126,Agilent 5uL syringe 1uL injection,Pest 1D,Pest 1D,PF Lib-RI-Filt TAF Pest1,,
112,Do Nothing,Sample,1D,OPP L6-0.5 pg/uL Split 20-1 (25 fg on Col) BT-PV2 1D:15,4/6/2018,12:04:24 AM,Done,126,Agilent 5uL syringe 1uL injection,Pest 1D,Pest 1D,PF Lib-RI-Filt TAF Pest1,,
113,Do Nothing,Sample,1D,OPP L7-1 pg/uL Split 20-1 (50 fg on Col) BT-PV2 1D,4/6/2018,12:46:25 AM,Done,127,Agilent 5uL syringe 1uL injection,Pest 1D,Pest 1D,PF Lib-RI-Filt TAF Pest1,,
114,Do Nothing,Sample,1D,OPP L7-1 pg/uL Split 20-1 (50 fg on Col) BT-PV2 1D:2,4/6/2018,1:28:28 AM,Done,127,Agilent 5uL syringe 1uL injection,Pest 1D,Pest 1D,PF Lib-RI-Filt TAF Pest1,,
115,Do Nothing,Sample,1D,OPP L7-1 pg/uL Split 20-1 (50 fg on Col) BT-PV2 1D:3,4/6/2018,2:10:28 AM,Done,127,Agilent 5uL syringe 1uL injection,Pest 1D,Pest 1D,PF Lib-RI-Filt TAF Pest1,,
116,Do Nothing,Sample,1D,OPP L7-1 pg/uL Split 20-1 (50 fg on Col) BT-PV2 1D:4,4/6/2018,2:52:23 AM,Done,127,Agilent 5uL syringe 1uL injection,Pest 1D,Pest 1D,PF Lib-RI-Filt TAF Pest1,,
117,Do Nothing,Sample,1D,OPP L7-1 pg/uL Split 20-1 (50 fg on Col) BT-PV2 1D:5,4/6/2018,3:34:35 AM,Done,127,Agilent 5uL syringe 1uL injection,Pest 1D,Pest 1D,PF Lib-RI-Filt TAF Pest1,,
118,Do Nothing,Sample,1D,OPP L7-1 pg/uL Split 20-1 (50 fg on Col) BT-PV2 1D:6,4/6/2018,4:16:39 AM,Done,127,Agilent 5uL syringe 1uL injection,Pest 1D,Pest 1D,PF Lib-RI-Filt TAF Pest1,,
